평가년도,쇼핑몰 구분,쇼핑몰 명,도메인명
2021,티켓,부킹닷컴,www.booking.com
2021,오픈마켓,옥션,www.gmarket.co.kr 
2021,종합쇼핑몰,AK몰,www.akmall.com
2021,가전,쿠쿠,www.cuckoo.co.kr
2021,해외구매대행,배달의 민족,www.baemin.com
2021,종합쇼핑몰,오케이몰,www.okmall.com
2021,티켓,마이리얼트립,www.myrealtrip.com
2021,컴퓨터,티몬 TVON,www.tmon.co.kr
2021,소셜커머스,플로,www.music-flo.com
2021,여행,티켓링크,www.ticketlink.co.kr
2021,의류,안다르,www.andar.co.kr
2021,오픈마켓,티몬,www.tmon.co.kr
2021,티켓,에어비앤비,www.airbnb.co.kr
2021,여행,멜론티켓,ticket.melon.com
2021,오픈마켓,인터파크,www.interpark.com
2021,가전,하이마트,www.e-himart.co.kr
2021,소셜커머스,스포티파이,www.spotify.com
2021,종합쇼핑몰,롯데온,www.lotteon.com
2021,티켓,호텔스닷컴,kr.hotels.com
2021,컴퓨터,보고플레이,www.vogoplay.com
2021,가전,하이탑AV,www.hitopav.co.kr
2021,티켓,아고다,www.agoda.com/ko-kr
2021,소셜커머스,유튜브 뮤직,www.youtube.com/musicpremium
2021,티켓,익스피디아,www.expedia.co.kr
2021,티켓,트립닷컴,kr.trip.com
